Type,Instruction Name,opcode,func3,func7,HEX
R,and,110011,111,0,33/7/00
R,add,110011,0,0,33/0/00
R,or,110011,110,0,33/6/00
R,sll,110011,1,0,33/1/0
R,slt,110011,10,0,
R,sra,110011,101,100000,33/5/20
R,srl,110011,101,0,33/5/0
R,sub,110011,0,100000,33/0/20
R,xor,110011,100,0,33/4/00
R,mul,110011,0,1,
R,div,110011,100,1,
R,rem,110011,110,1,
I,andi,10011,111,NA,
I,addi,10011,0,NA,
I,ori,10011,110,NA,
I,lb,11,0,NA,
I,lh,11,1,NA,
I,lw,11,10,NA,
I,jalr,1100111,0,NA,
S,sb,100011,0,NA,
S,sw,100011,10,NA,
S,sh,100011,1,NA,
SB,beq,1100111,0,NA,
SB,bne,1100111,1,NA,
SB,bge,1100111,101,NA,
SB,blt,1100111,100,NA,
U,auipc,10111,NA,NA,
U,lui,110111,NA,NA,
UJ,jal,1101111,NA,NA,
